dataset,method,population,support,tp,fp,fn,precision,recall,f1,overlapping_predicted_clusters,effective_predicted_clusters,unit,source_id
Levine_32dim,official_Xshift_K20,Basophils,1207,709,0,498,1.0,0.5874067937033969,0.7400835073068893,7,2.512740067438792,reference_population,xshift_levine32_population
Levine_32dim,official_Xshift_K20,CD16+_NK_cells,2248,1089,8,1159,0.9927073837739289,0.4844306049822064,0.6511210762331838,9,3.0361514115224066,reference_population,xshift_levine32_population
Levine_32dim,official_Xshift_K20,CD16-_NK_cells,3905,2090,323,1815,0.8661417322834646,0.5352112676056338,0.6616017727128838,24,2.7342736489000448,reference_population,xshift_levine32_population
Levine_32dim,official_Xshift_K20,CD34+CD38+CD123+_HSPCs,304,13,158,291,0.07602339181286549,0.04276315789473684,0.05473684210526316,9,1.3905507071922958,reference_population,xshift_levine32_population
Levine_32dim,official_Xshift_K20,CD34+CD38+CD123-_HSPCs,3295,1327,341,1968,0.7955635491606715,0.40273141122913503,0.5347572033044529,25,4.8909814150342035,reference_population,xshift_levine32_population
Levine_32dim,official_Xshift_K20,CD34+CD38lo_HSCs,916,492,184,424,0.727810650887574,0.537117903930131,0.6180904522613065,12,2.3723323644835492,reference_population,xshift_levine32_population
Levine_32dim,official_Xshift_K20,CD4_T_cells,26366,13552,199,12814,0.9855283252127118,0.5139952969733748,0.6756238003838771,25,2.437027692770356,reference_population,xshift_levine32_population
Levine_32dim,official_Xshift_K20,CD8_T_cells,20108,12901,117,7207,0.9910124443078814,0.6415854386313905,0.7789047877799915,30,2.0260726054283507,reference_population,xshift_levine32_population
Levine_32dim,official_Xshift_K20,Mature_B_cells,16520,6770,29,9750,0.9957346668627739,0.40980629539951574,0.5806423946138343,50,3.7436467084722844,reference_population,xshift_levine32_population
Levine_32dim,official_Xshift_K20,Monocytes,21099,7859,4,13240,0.999491288312349,0.3724821081567847,0.5427111387335128,55,5.6970536538870205,reference_population,xshift_levine32_population
Levine_32dim,official_Xshift_K20,Plasma_B_cells,330,284,100,46,0.7395833333333334,0.8606060606060606,0.7955182072829133,10,1.3413973196689004,reference_population,xshift_levine32_population
Levine_32dim,official_Xshift_K20,Pre_B_cells,6135,3818,100,2317,0.9744767738642164,0.6223308883455583,0.7595742564408634,27,2.4634811297544106,reference_population,xshift_levine32_population
Levine_32dim,official_Xshift_K20,Pro_B_cells,513,303,147,210,0.6733333333333333,0.5906432748538012,0.6292834890965733,16,2.5125211231299462,reference_population,xshift_levine32_population
Levine_32dim,official_Xshift_K20,pDCs,1238,858,344,380,0.7138103161397671,0.6930533117932148,0.7032786885245901,11,1.9376471272418339,reference_population,xshift_levine32_population
